experiment_timestamp,game_id,opening_name,base_time_per_move,engine_ply_index,total_ply_from_start,side,strategy,dynamic_colour,fen_before_move,move_uci,move_san,score_white_perspective,initial_clock,clock_before,allocated_decision_time,policy_analysis_time,search_time,decision_time_charged,deadline_overrun,clock_after,completed_depth,attempted_depth,timed_out,nodes,cutoffs,iteration_nodes,volatility_score,volatility_class,time_multiplier,in_check,legal_move_count,capture_move_count,checking_move_count,absolute_evaluation_swing,diagnostic_volatility_time_not_charged
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,2,2,black,dynamic,black,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,g8f6,Nf6,0,0.2,0.2,0.012,0.0005775000026915222,0.011667899991152808,0.012247299993759952,0.00024729999375995224,0.18775270000624006,1,2,True,43,0,20,0.061,quiet,0.6,False,20,0,0,61,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,3,3,white,fixed,black,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2,b1c3,Nc3,61,0.2,0.1799848000111524,0.02,0.0,0.02001199999358505,0.020013199988170527,1.3199988170526505e-05,0.15997160002298189,1,2,True,72,2,22,0.061,quiet,1.0,False,22,0,0,61,0.0006301999965216964
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,4,4,black,dynamic,black,rnbqkb1r/pppppppp/5n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 3 2,b8c6,Nc6,0,0.2,0.18775270000624006,0.012,0.0006201999931363389,0.01161070000671316,0.012233500005095266,0.00023350000509526556,0.1755192000011448,1,2,True,44,0,22,0.061,quiet,0.6,False,22,0,0,61,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,5,5,white,fixed,black,r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 4 3,d2d4,d4,52,0.2,0.15997160002298189,0.02,0.0,0.020095899992156774,0.020097400003578514,9.740000357851344e-05,0.13987420001940337,1,2,True,73,5,24,0.061,quiet,1.0,False,24,0,0,61,0.0006663999956799671
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,6,6,black,dynamic,black,r1bqkb1r/pppppppp/2n2n2/8/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,c6d4,Nxd4,-110,0.2,0.1755192000011448,0.012,0.0007343000033870339,0.011278599995421246,0.012015399988740683,1.5399988740682352e-05,0.1635038000124041,1,2,True,38,0,24,0.13533333333333333,quiet,0.6,False,24,1,0,52,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,7,7,white,fixed,black,r1bqkb1r/pppppppp/5n2/8/3n4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 4,d1d4,Qxd4,338,0.2,0.13987420001940337,0.02,0.0,0.020041900002979673,0.02004329999908805,4.329999908804852e-05,0.11983090002031532,1,2,True,60,0,32,0.32866666666666666,normal,1.0,False,32,2,0,162,0.0008556999964639544
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,8,8,black,dynamic,black,r1bqkb1r/pppppppp/5n2/8/3Q4/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 4,d7d5,d5,284,0.2,0.1635038000124041,0.02,0.0006856999971205369,0.019519599998602644,0.020207299996400252,0.00020729999640025157,0.14329650001600386,1,2,True,64,0,21,0.2,normal,1.0,False,21,0,0,448,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,9,9,white,fixed,black,r1bqkb1r/ppp1pppp/5n2/3p4/3Q4/2N2N2/PPP1PPPP/R1B1KB1R w KQkq - 0 5,d4f6,Qxf6,603,0.2,0.11983090002031532,0.02,0.0,0.02024810000148136,0.020249599998351187,0.0002495999983511861,0.09958130002196414,1,2,True,67,5,47,0.40399999999999997,volatile,1.0,False,47,4,1,54,0.0008593999955337495
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,10,10,black,dynamic,black,r1bqkb1r/ppp1pppp/5Q2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R b KQkq - 0 5,g7f6,gxf6,-206,0.2,0.14329650001600386,0.036000000000000004,0.0007375999994110316,0.035574699999415316,0.03631419999874197,0.00031419999874196525,0.10698230001726189,2,3,True,122,24,25|80,0.3666666666666667,volatile,1.8,False,25,2,0,319,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,11,11,white,fixed,black,r1bqkb1r/ppp1pp1p/5p2/3p4/8/2N2N2/PPP1PPPP/R1B1KB1R w KQkq - 0 6,c3d5,Nxd5,-206,0.2,0.09958130002196414,0.02,0.0,0.02021450000756886,0.020215800002915785,0.0002158000029157843,0.07936550001904835,1,2,True,68,2,31,0.2833333333333333,normal,1.0,False,31,1,0,971,0.0007551000016974285
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,12,12,black,dynamic,black,r1bqkb1r/ppp1pp1p/5p2/3N4/8/5N2/PPP1PPPP/R1B1KB1R b KQkq - 0 6,d8d5,Qxd5,-662,0.2,0.10698230001726189,0.02,0.0006783999997423962,0.01933330000611022,0.020014000008814037,1.400000881403643e-05,0.08696830000844785,1,2,True,63,6,24,0.24533333333333335,normal,1.0,False,24,1,0,162,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,13,13,white,fixed,black,r1b1kb1r/ppp1pp1p/5p2/3q4/8/5N2/PPP1PPPP/R1B1KB1R w KQkq - 0 7,e2e4,e4,-615,0.2,0.07936550001904835,0.02,0.0,0.02009370000450872,0.020094999999855645,9.499999985564458e-05,0.05927050001919271,1,2,True,62,0,25,0.2,normal,1.0,False,25,0,0,456,0.0007611999899381772
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,14,14,black,dynamic,black,r1b1kb1r/ppp1pp1p/5p2/3q4/4P3/5N2/PPP2PPP/R1B1KB1R b KQkq - 0 7,d5e4,Qxe4+,-722,0.2,0.08696830000844785,0.036000000000000004,0.0009117000008700415,0.03522770000563469,0.0361416000087047,0.00014160000870469536,0.05082669999974315,2,3,True,144,41,42|87,0.4136666666666667,volatile,1.8,False,42,2,4,47,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,15,15,white,fixed,black,r1b1kb1r/ppp1pp1p/5p2/8/4q3/5N2/PPP2PPP/R1B1KB1R w KQkq - 0 8,e1d2,Kd2,-1091,0.2,0.05927050001919271,0.02,0.0,0.02019779999682214,0.020199099992169067,0.00019909999216906685,0.03907140002702364,2,3,True,77,11,4|48,0.5429999999999999,volatile,1.0,True,4,0,0,193,0.0006797999958507717
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,16,16,black,dynamic,black,r1b1kb1r/ppp1pp1p/5p2/8/4q3/5N2/PPPK1PPP/R1B2B1R b kq - 1 8,f8h6,Bh6+,-772,0.2,0.05082669999974315,0.036000000000000004,0.0008987000037450343,0.03523259999928996,0.036133600005996414,0.0001336000059964093,0.014693099993746739,2,3,True,149,39,41|92,0.4086666666666667,volatile,1.8,False,41,2,10,42,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,17,17,white,fixed,black,r1b1k2r/ppp1pp1p/5p1b/8/4q3/5N2/PPPK1PPP/R1B2B1R w kq - 2 9,d2c3,Kc3,-1125,0.2,0.03907140002702364,0.02,0.0,0.020126600007642992,0.020128200005274266,0.0001282000052742656,0.018943200021749373,2,3,True,68,3,3|52,0.414,volatile,1.0,True,3,0,0,64,0.0005977999971946701
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,18,18,black,dynamic,black,r1b1k2r/ppp1pp1p/5p1b/8/4q3/2K2N2/PPP2PPP/R1B2B1R b kq - 3 9,h8g8,Rg8,,0.2,0.014693099993746739,0.009693099993746738,0.0008820999937597662,0.009059600008185953,0.009943600001861341,0.00025050000811460346,0.0047494999918853975,0,1,True,30,0,,0.508,volatile,1.8,False,47,3,11,58,0.0
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,19,19,white,fixed,black,r1b1k1r1/ppp1pp1p/5p1b/8/4q3/2K2N2/PPP2PPP/R1B2B1R w q - 4 10,c1h6,Bxh6,-418,0.2,0.018943200021749373,0.018943200021749373,0.0,0.018989899996086024,0.0189910999906715,4.789996892212711e-05,0.0,1,2,True,54,10,28,0.19733333333333336,normal,1.0,False,28,1,1,14,0.0009180000051856041
20260804_233332,t20ms_starting_position_dynamic_black,starting_position,0.02,20,20,black,dynamic,black,r1b1k1r1/ppp1pp1p/5p1B/8/4q3/2K2N2/PPP2PPP/R4B1R b q - 0 10,g8h8,Rh8,,0.2,0.0047494999918853975,0.0047494999918853975,0.0008769999985815957,0.003928100006305613,0.0048070000048028305,5.750001291743301e-05,0.0,0,1,True,15,0,,0.65,volatile,1.8,False,44,3,10,368,0.0
